nct_id,brief_title,overall_status,phase,conditions,interventions,location_countries,lead_sponsor,lead_sponsor_norm,region_label,estimated_trial_cost,enrollment_feasibility_score,benefit_score
NCT06157996,Lenvatinib Plus Tislelizumab and CapeOX as First-Line Treatment for Advanced GC/GEJC With Positive PD-L1 and Low TMEscore,Recruiting,Phase 2,['Gastric Cancer'],"['lenvatinib and tislelizumab plus CapeOX chemotherapy'
 'tislelizumab plus CapeOX chemotherapy']",['China'],"Nanfang Hospital, Southern Medical University","Nanfang Hospital, Southern Medical University",Global / Multi-Region,2.0,1.0,0.6
NCT06158113,Efficacy and Safety of Baricitinib in Oral Lichen Planus: a Proof-of-Concept Study,Recruiting,Phase 2,"['Lichen Planus, Oral' 'Lichen Planus, Mucosal' 'Oral Lichen Planus']",['Baricitinib 4 milligram Oral Tablet'],['United States'],"University of North Carolina, Chapel Hill","University of North Carolina, Chapel Hill",Global / Multi-Region,2.0,1.0,0.6
NCT06158230,Comparison of Efficacy Between Combination of Amitriptyline-propranolol and Pizotifen for Migraine Prophylaxis.,"Active, not recruiting",Phase 2,['Migraine'],['Pizotifen' 'Amitriptyline-propranolol'],['Bangladesh'],"Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh",Global / Multi-Region,2.0,1.0,0.6
NCT06158269,DVRd in the Treatment of Patients With Newly Diagnosed Double-hit Multiple Myeloma,Recruiting,Phase 2,['Multiple Myeloma'],['DVRd'],['China'],"Institute of Hematology & Blood Diseases Hospital, China","Institute of Hematology & Blood Diseases Hospital, China",Global / Multi-Region,2.0,1.0,0.6
NCT06158386,Chidamide Combined With Linperlisibon for the Treatment of Refractory/Relapsed Follicular Lymphoma,Recruiting,Phase 2,"['Follicular Lymphoma' 'Refractory B-Cell Lymphoma'
 'Relapsed Non-Hodgkin Lymphoma']",['Chidamide combined with Linperlisib'],['China'],The First Affiliated Hospital of Xiamen University,The First Affiliated Hospital of Xiamen University,Global / Multi-Region,2.0,1.0,0.6
NCT06158399,AZA Combined With RCHOP in P53-mutated DLBCL.,Recruiting,Phase 2,['DLBCL - Diffuse Large B Cell Lymphoma' 'TP53'],['Azacitidine in combination with R-CHOP'],['China'],The First Affiliated Hospital of Xiamen University,The First Affiliated Hospital of Xiamen University,Global / Multi-Region,2.0,1.0,0.6
NCT06158412,All-trans Retinoic Acid in Combination With a KPD Regimen for the Treatment of Refractory/Relapsed Multiple Myeloma,Recruiting,Phase 2,"['Multiple Myeloma in Relapse' 'Multiple Myeloma, Refractory']",['All-trans Retinoic Acid in combination with the KPD Regimen'],['China'],The First Affiliated Hospital of Xiamen University,The First Affiliated Hospital of Xiamen University,Global / Multi-Region,2.0,1.0,0.6
NCT06158490,A Study to Evaluate JYP0061 Tablets in Patients With Moderate-to-severe Atopic Dermatitis,Enrolling by invitation,Phase 2,['Moderate-to-severe Atopic Dermatitis'],['JYP0061 15 mg' 'JYP0061 30 mg' 'Placebo'],['China'],"Guangzhou JOYO Pharma Co., Ltd","Guangzhou JOYO Pharma Co., Ltd",Global / Multi-Region,2.0,1.0,0.6
NCT06158594,Determining the Optimal Amount of Structured Environments for Healthy Kids,Recruiting,Phase 2,"['Health Status Disparities' 'Pediatric Obesity' 'Ethnic Groups'
 'Socioeconomic Factors']",['Summer day camp'],['United States'],University of South Carolina,University of South Carolina,Global / Multi-Region,2.0,1.0,0.6
NCT06159283,Intravenous Immunoglobulin Replacement Therapy for Persistent COVID-19 in Patients With B-cell Impairment,Recruiting,Phase 2,['COVID-19'],['Immunoglobulins'],['South Korea'],Jaehoon Ko,Jaehoon Ko,Global / Multi-Region,2.0,1.0,0.6
NCT06159478,Binimetinib in Patients With BRAF Fusion-positive Low-grade Glioma or Pancreatic Cancer (Perfume),Recruiting,Phase 2,['Low-grade Glioma' 'Pancreatic Cancer'],['Binimetinib 15 MG'],['Japan'],"National Cancer Center, Japan","National Cancer Center, Japan",Global / Multi-Region,2.0,1.0,0.6
NCT06160206,Retifanlimab with Bevacizumab and Hypofractionated Radiotherapy for the Treatment of Recurrent Glioblastoma,Recruiting,Phase 2,['Recurrent Glioblastoma' 'Recurrent WHO Grade 4 Glioma'],"['Bevacizumab' 'Biospecimen Collection' 'Computed Tomography'
 'Electronic Health Record Review' 'Hypofractionated Radiation Therapy'
 'Magnetic Resonance Imaging' 'Retifanlimab']",['United States'],Academic and Community Cancer Research United,Academic and Community Cancer Research United,Global / Multi-Region,2.0,1.0,0.6
NCT06160232,Psilocybin-Assisted Therapy for Severe Alcohol Use Disorder,Recruiting,Phase 2,['Severe Alcohol Use Disorder'],['Psilocybin (high dose)' 'Active placebo (low dose of psilocybin)'],['Belgium'],Brugmann University Hospital,Brugmann University Hospital,Global / Multi-Region,2.0,1.0,0.6
