method,K,lambda_cost,lambda_safety,noise_sigma,objective_mean,objective_std,jaccard_mean,jaccard_std,n_runs,objective_norm_mean
greedy,9,0.5,2.0,0.05,-1.7108107224163624e-09,4.551270167032792e-11,0.1279411764705882,0.0576725633856693,3,6.731669594728007e-11
greedy,9,1.0,0.5,0.1,8.999999997690244,2.2138946884845358e-10,0.1279411764705882,0.0576725633856693,3,0.25000000002196254
greedy,9,1.0,0.5,0.05,8.999999998845121,1.1069456209931455e-10,0.1279411764705882,0.0576725633856693,3,0.25000000005404244
greedy,12,1.0,0.5,0.1,11.999999997246944,2.1829655028790047e-10,0.1277777777777777,0.054997194092287,3,0.3333333333334097
greedy,12,1.0,0.5,0.05,11.999999998623473,1.091482055715364e-10,0.1277777777777777,0.054997194092287,3,0.3333333333716466
greedy,12,2.0,1.0,0.1,35.999999995533045,3.3514690740688945e-10,0.1277777777777777,0.054997194092287,3,0.99999999987589
greedy,12,2.0,1.0,0.05,35.999999997766515,1.6757561406716235e-10,0.1277777777777777,0.054997194092287,3,0.999999999937931
greedy,12,1.0,1.0,0.1,11.999999996773836,2.2315475128644198e-10,0.1257309941520467,0.0289458916275194,3,0.3333333333202678
greedy,12,1.0,1.0,0.05,11.999999998386915,1.1157813789769292e-10,0.1257309941520467,0.0289458916275194,3,0.3333333333650756
greedy,9,2.0,2.0,0.1,26.999999995448672,3.0900044476355377e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999022631
greedy,9,2.0,1.0,0.1,26.99999999627121,2.9521327681964713e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999251113
greedy,9,2.0,0.5,0.1,26.99999999656246,2.3112902627461404e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999332017
greedy,9,2.0,2.0,0.05,26.99999999772433,1.544997721438749e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999654758
greedy,9,2.0,1.0,0.05,26.99999999813561,1.4760802009130568e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999769003
greedy,9,2.0,0.5,0.05,26.99999999828123,1.15564564934135e-10,0.1083333333333333,0.0824957911384305,3,0.7499999999809452
greedy,12,0.5,2.0,0.1,-4.134211776796814e-09,1.0392764582942936e-10,0.1073099415204678,0.0476509515133097,3,0.0
greedy,12,0.5,2.0,0.05,-2.067105925405841e-09,5.196395423601394e-11,0.1073099415204678,0.0476509515133097,3,5.741960697648696e-11
greedy,12,2.0,2.0,0.1,35.99999999453075,3.618922214673893e-10,0.1073099415204678,0.0476509515133097,3,0.9999999998480484
greedy,12,2.0,2.0,0.05,35.99999999726537,1.8094731289905328e-10,0.1073099415204678,0.0476509515133097,3,0.9999999999240102
