config_id,K,lambda_cost,lambda_safety,noise_sigma,seed,pool_size,penalty_A,shots,gamma_0,beta_0,best_mean_energy,best_bitstring,jaccard_vs_baseline,selected_n,total_benefit,total_cost,total_safety,objective
K6_lc2.0_ls1.0_sig0.0_seed1_pool6_shots1024_A10.0,6,2.0,1.0,0.0,1,6,10.0,1024,1.2666666666666666,1.0,-329.533203125,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc2.0_ls1.0_sig0.0_seed2_pool6_shots1024_A10.0,6,2.0,1.0,0.0,2,6,10.0,1024,1.2666666666666666,1.0,-328.7666015625,111111,1.0,6,0.0,0.0,6.0,6.0
K6_lc2.0_ls1.0_sig0.05_seed0_pool6_shots1024_A10.0,6,2.0,1.0,0.05,0,6,10.0,1024,1.0,1.2666666666666666,-268.967285185529,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,4.426774471643579
K6_lc2.0_ls1.0_sig0.05_seed1_pool6_shots1024_A10.0,6,2.0,1.0,0.05,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-332.59972076196107,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,7.28647584751124
K6_lc2.0_ls1.0_sig0.05_seed2_pool6_shots1024_A10.0,6,2.0,1.0,0.05,2,6,10.0,1024,1.2666666666666666,1.0,-287.16960174398884,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,5.124689570931565
K6_lc2.0_ls1.0_sig0.1_seed0_pool6_shots1024_A10.0,6,2.0,1.0,0.1,0,6,10.0,1024,1.0,1.2666666666666666,-269.04991999675417,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,4.458121922493712
K6_lc2.0_ls1.0_sig0.1_seed1_pool6_shots1024_A10.0,6,2.0,1.0,0.1,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-332.50732539578655,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,7.2980680968636085
K6_lc2.0_ls1.0_sig0.1_seed2_pool6_shots1024_A10.0,6,2.0,1.0,0.1,2,6,10.0,1024,1.2666666666666666,1.0,-288.3431398565937,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,5.140496714198354
K6_lc2.0_ls2.0_sig0.0_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.0,0,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc2.0_ls2.0_sig0.0_seed1_pool6_shots1024_A10.0,6,2.0,2.0,0.0,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-345.09765625,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc2.0_ls2.0_sig0.0_seed2_pool6_shots1024_A10.0,6,2.0,2.0,0.0,2,6,10.0,1024,1.2666666666666666,0.7333333333333334,-344.59375,111111,1.0,6,0.0,0.0,6.0,12.0
K6_lc2.0_ls2.0_sig0.05_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.05,0,6,10.0,1024,1.5333333333333332,1.8,-270.1668516130769,111111,1.0,6,3.213090447181125,2.8538004861826582,1.9322639464593876,6.359038418102967
K6_lc2.0_ls2.0_sig0.05_seed1_pool6_shots1024_A10.0,6,2.0,2.0,0.05,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-334.8939972950438,111111,1.0,6,4.240480174660395,4.030366344877617,3.4662233324164013,10.752699179927642
K6_lc2.0_ls2.0_sig0.05_seed2_pool6_shots1024_A10.0,6,2.0,2.0,0.05,2,6,10.0,1024,1.2666666666666666,1.0,-310.7896242524569,111111,1.0,6,3.3963352989970734,2.7281619015516037,3.0647010668254318,8.189390637756997
K6_lc2.0_ls2.0_sig0.1_seed0_pool6_shots1024_A10.0,6,2.0,2.0,0.1,0,6,10.0,1024,1.5333333333333332,1.8,-269.9285863940412,111111,1.0,6,3.213090447208443,2.8694742116310405,1.9322639464400733,6.390385868933785
K6_lc2.0_ls2.0_sig0.1_seed1_pool6_shots1024_A10.0,6,2.0,2.0,0.1,1,6,10.0,1024,1.2666666666666666,0.7333333333333334,-334.9631131416666,111111,1.0,6,4.240480174679597,4.036162469572887,3.4662233323974307,10.76429142926104
K6_lc2.0_ls2.0_sig0.1_seed2_pool6_shots1024_A10.0,6,2.0,2.0,0.1,2,6,10.0,1024,1.2666666666666666,0.7333333333333334,-311.0485193606262,111111,1.0,6,3.3963352990050826,2.736065473199977,3.0647010668034835,8.20519778100184
